_id,title,description,release_date,genre,director,rating,cast[0].actor,cast[1].actor,cast[2].actor,cast[3].actor,cast[4].actor,cast[5].actor,cast[6].actor,cast[7].actor,cast[8].actor,cast[9].actor,cast[10].actor,cast[11].actor,cast[12].actor,cast[13].actor,cast[14].actor,cast[15].actor,cast[16].actor,cast[17].actor,cast[18].actor,cast[19].actor,cast[20].actor,cast[21].actor,cast[22].actor,cast[23].actor,cast[24].actor,cast[25].actor,cast[26].actor,cast[27].actor,cast[28].actor,cast[29].actor,cast[30].actor,cast[0].role,cast[1].role,cast[2].role,cast[3].role,cast[4].role,cast[5].role,cast[6].role,cast[7].role,cast[8].role,cast[9].role,cast[10].role,cast[11].role,cast[12].role,cast[13].role,cast[14].role,cast[15].role,cast[16].role,cast[17].role,cast[18].role,cast[19].role,cast[20].role,cast[21].role,cast[22].role,cast[23].role,cast[24].role,cast[25].role,cast[26].role,cast[27].role,cast[28].role,cast[29].role,cast[30].role,cast[0]._id,cast[1]._id,cast[2]._id,cast[3]._id,cast[4]._id,cast[5]._id,cast[6]._id,cast[7]._id,cast[8]._id,cast[9]._id,cast[10]._id,cast[11]._id,cast[12]._id,cast[13]._id,cast[14]._id,cast[15]._id,cast[16]._id,cast[17]._id,cast[18]._id,cast[19]._id,cast[20]._id,cast[21]._id,cast[22]._id,cast[23]._id,cast[24]._id,cast[25]._id,cast[26]._id,cast[27]._id,cast[28]._id,cast[29]._id,cast[30]._id,poster_url,is_deleted,__v,test_poster_url,language,banner_url,runtime,writer,trailer_url,view_count,created_at,updated_at,deleted_at
66a2034a519ff3d289917b83,Star Wars: Episode IV - A New Hope,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee, and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",1977-05-25T00:00:00.000Z,Science Fiction,George Lucas,8.6,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,Peter Cushing,James Earl Jones,,,,,,,,,,,,,,,,,,,,,,,,,,Luke Skywalker,Han Solo,Princess Leia,Obi-Wan Kenobi,Grand Moff Tarkin,Darth Vader (voice),,,,,,,,,,,,,,,,,,,,,,,,,,66a2034a519ff3d289917b84,66a2034a519ff3d289917b85,66a2034a519ff3d289917b86,66a2034a519ff3d289917b87,66a2034a519ff3d289917b88,66a2034a519ff3d289917b89,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/movies/starwars-poster.jpg,true,0,starwars-poster.jpg,English,,,,,,,,
66a20438519ff3d289917b8b,WandaVision,Blends the style of classic sitcoms with the MCU in which Wanda Maximoff and Vision - two super-powered beings living their ideal suburban lives - begin to suspect that everything is not as it seems.,2021-01-15T00:00:00.000Z,"Action, Comedy, Drama",Matt Shakman,8,Elizabeth Olsen,Paul Bettany,Kathryn Hahn,Teyonah Parris,Kat Dennings,Randall Park,,,,,,,,,,,,,,,,,,,,,,,,,,Wanda Maximoff / Scarlet Witch,Vision,Agatha Harkness,Monica Rambeau,Darcy Lewis,Jimmy Woo,,,,,,,,,,,,,,,,,,,,,,,,,,66a20438519ff3d289917b8c,66a20438519ff3d289917b8d,66a20438519ff3d289917b8e,66a20438519ff3d289917b8f,66a20438519ff3d289917b90,66a20438519ff3d289917b91,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/movies/wandavision-poster.jpg,true,0,wandavision-poster.jpg,English,,,,,,,,
66a204c8519ff3d289917b93,Aladdin,"Aladdin, a kind thief, woos Jasmine, the princess of Agrabah, with the help of Genie. When Jafar, the grand vizier, tries to usurp the king, Jasmine, Aladdin and Genie must stop him from succeeding.",2019-05-24T00:00:00.000Z,"Adventure, Family, Fantasy, Comedy",Guy Ritchie,0,Mena Massoud,Naomi Scott,Will Smith,Marwan Kenzari,Navid Negahban,Nasim Pedrad,,,,,,,,,,,,,,,,,,,,,,,,,,Role 1,Role 2,Role 3,Role 4,Role 5,Role 6,,,,,,,,,,,,,,,,,,,,,,,,,,66a204c8519ff3d289917b94,66a204c8519ff3d289917b95,66a204c8519ff3d289917b96,66a204c8519ff3d289917b97,66a204c8519ff3d289917b98,66a204c8519ff3d289917b99,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/movies/1736759401346-m-alladin-p.jpg,false,0,,English,https://moviu.s3.us-east-1.amazonaws.com/movies/1736759402978-m-alladin-b.jpg,02:08,"John August, Guy Ritchie",,,,,
66a204f6519ff3d289917b9b,Freedom,"Two men separated by 100 years are united in their search for freedom. In 1856, slave Samuel Woodward and his family escape from the Monroe Plantation near Richmond, Virginia. A secret network of ordinary people known as the Underground Railroad guide the family on their journey north to Canada. They are relentlessly pursued by the notorious slave-hunter Plimpton. Hunted like a dog and haunted by the unthinkable suffering he and his forbears have endured, Samuel is forced to decide between revenge or freedom. 100 years earlier in 1748, John Newton the Captain of a slave ship sails from Africa with a cargo of slaves, bound for America. On board is Samuel's great-grandfather, whose survival is tied to the fate of Captain Newton. The voyage changes Newton's life forever and he creates a legacy that will inspire Samuel and the lives of millions for generations to come.",2014-06-05T00:00:00.000Z,"Drama, History, Musical",Peter Cousens,0,Cuba Gooding Jr.,Sharon Leal,David Rasche,William Sadler,Michael Goodwin,,,,,,,,,,,,,,,,,,,,,,,,,,,Role 1,Role 2,Role 3,Role 4,Role 5,,,,,,,,,,,,,,,,,,,,,,,,,,,66a204f6519ff3d289917b9c,66a204f6519ff3d289917b9d,66a204f6519ff3d289917b9e,66a204f6519ff3d289917b9f,66a204f6519ff3d289917ba0,,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/movies/1736759803444-m-freedom-p.jpg,false,0,,English,https://moviu.s3.us-east-1.amazonaws.com/movies/1736759807046-m-freedom-b.jpg,01:34,"Timothy A. Chey, Peter Cousens, Douglas Nyback",,,,,
66a20516519ff3d289917ba2,Mission: Impossible,"An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization.",1996-05-22T00:00:00.000Z,"Action, Adventure, Thriller",Brian De Palma,0,Tom Cruise,Jon Voight,Emmanuelle Béart,Henry Czerny,Jean Reno,Ving Rhames,,,,,,,,,,,,,,,,,,,,,,,,,,Role 1,Role 2,Role 3,Role 4,Role 5,Role 6,,,,,,,,,,,,,,,,,,,,,,,,,,66a20516519ff3d289917ba3,66a20516519ff3d289917ba4,66a20516519ff3d289917ba5,66a20516519ff3d289917ba6,66a20516519ff3d289917ba7,66a20516519ff3d289917ba8,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/movies/1736760300848-m-missionimpossible1996-p.jpg,false,0,,English,https://moviu.s3.us-east-1.amazonaws.com/movies/1736760303572-m-missionimpossible1996-b.jpg,01:50, Bruce GellerDavid KoeppSteven Zaillian,,,,,
66a20533519ff3d289917baa,Joker,"In Gotham City, mentally troubled comedian Arthur Fleck embarks on a downward spiral of social revolution and bloody crime. This path brings him face-to-face with his infamous alter-ego: the Joker.",2019-10-04T00:00:00.000Z,"Crime, Drama, Thriller",Todd Phillips,8.4,Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy,Brett Cullen,,,,,,,,,,,,,,,,,,,,,,,,,,,Arthur Fleck / Joker,Murray Franklin,Sophie Dumond,Penny Fleck,Thomas Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,66a20533519ff3d289917bab,66a20533519ff3d289917bac,66a20533519ff3d289917bad,66a20533519ff3d289917bae,66a20533519ff3d289917baf,,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/movies/joker-poster.jpg,true,0,joker-poster.jpg,English,,,,,,,,
66a20554519ff3d289917bb1,Wood,"A gripping tale about the struggle of a family-owned logging company against environmental activists and corporate interests trying to shut them down. The film explores the complex dynamics of family loyalty, business ethics, and the fight for survival in a changing world.",2020-11-15T00:00:00.000Z,"Drama, Thriller",John Doe,7.5,Chris Pine,Elizabeth Olsen,Robert Downey Jr.,Emma Stone,Mark Ruffalo,,,,,,,,,,,,,,,,,,,,,,,,,,,Jack Wood,Emily Wood,Robert Thompson,Alice Green,David Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,66a20554519ff3d289917bb2,66a20554519ff3d289917bb3,66a20554519ff3d289917bb4,66a20554519ff3d289917bb5,66a20554519ff3d289917bb6,,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/movies/wood-poster.jpg,true,0,wood-poster.jpg,English,,,,,,,,
66a20573519ff3d289917bb8,The Avengers,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,2012-05-04T00:00:00.000Z,"Action, Adventure, Sci-Fi",Joss Whedon,8,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,Scarlett Johansson,Jeremy Renner,,,,,,,,,,,,,,,,,,,,,,,,,,Tony Stark / Iron Man,Steve Rogers / Captain America,Bruce Banner / Hulk,Thor,Natasha Romanoff / Black Widow,Clint Barton / Hawkeye,,,,,,,,,,,,,,,,,,,,,,,,,,66a20573519ff3d289917bb9,66a20573519ff3d289917bba,66a20573519ff3d289917bbb,66a20573519ff3d289917bbc,66a20573519ff3d289917bbd,66a20573519ff3d289917bbe,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/movies/avengers-poster.jpg,true,0,avengers-poster.jpg,English,,,,,,,,
66a20599519ff3d289917bc0,Moonlight,"A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.",2016-10-21T00:00:00.000Z,Drama,Barry Jenkins,7.4,Trevante Rhodes,Andre Holland,Janelle Monáe,Ashton Sanders,Naomie Harris,Mahershala Ali,,,,,,,,,,,,,,,,,,,,,,,,,,Chiron,Kevin,Teresa,Teen Chiron,Paula,Juan,,,,,,,,,,,,,,,,,,,,,,,,,,66a20599519ff3d289917bc1,66a20599519ff3d289917bc2,66a20599519ff3d289917bc3,66a20599519ff3d289917bc4,66a20599519ff3d289917bc5,66a20599519ff3d289917bc6,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/movies/moonlight-poster.jpg,true,0,moonlight-poster.jpg,English,,,,,,,,
66a205bf519ff3d289917bc8,Black Panther,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",2018-02-16T00:00:00.000Z,"Action, Adventure, Sci-Fi",Ryan Coogler,7.3,Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,Danai Gurira,Martin Freeman,Letitia Wright,,,,,,,,,,,,,,,,,,,,,,,,,,T'Challa / Black Panther,Erik Killmonger,Nakia,Okoye,Everett K. Ross,Shuri,,,,,,,,,,,,,,,,,,,,,,,,,,66a205bf519ff3d289917bc9,66a205bf519ff3d289917bca,66a205bf519ff3d289917bcb,66a205bf519ff3d289917bcc,66a205bf519ff3d289917bcd,66a205bf519ff3d289917bce,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/movies/blackpanther-poster.jpg,true,0,blackpanther-poster.jpg,English,,,,,,,,
